id	title	production	length	presentation	youtube	links	embedding
403	Késõ	1943	83	1943.04.11	1	https://youtu.be/t8Wmt_egbNw	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/t8Wmt_egbNw"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
404	Két fogoly	1937	81	1938.01.06	0		
405	Kettesben	1943	70	1943.10.01	1		
406	Kísértetek vonata	1933	64	1933.04.12	1		
407	Legény a gáton	1943	77	1943.04.08	0		
408	Légy jó mindhalálig	1936	70	1936.03.17	1	https://youtu.be/SLywyhRIUS4	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/SLywyhRIUS4"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
409	Lejtõn	1943	61	1944.05.16	1		
410	Lelki klinika	1941	73	1941.12.04	1	https://youtu.be/NtukW8l7igk	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/NtukW8l7igk"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
411	Lovagias ügy	1937	77	1937.02.11	1	https://youtu.be/2qwtnr9bu3c	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/2qwtnr9bu3c"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
412	Machita	1943	97	1944.04.05	1	https://youtu.be/GwwbgbYpcEs	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/GwwbgbYpcEs"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
413	Madách	1944	81		1	https://youtu.be/n_d3pMrGUJw	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/n_d3pMrGUJw"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
414	Magdát kicsapják	1937	90	1938.03.05	0		
415	Magyar feltámadás	1939	81	1939.02.17	0		
416	Majális	1943	70	1944.10.01	1	https://youtu.be/71GiVMjD8Us	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/71GiVMjD8Us"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
417	Makacs Kata	1943	79	1943.10.15	1	https://youtu.be/vCV3cpAUhFU	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/vCV3cpAUhFU"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
418	Makrancos hölgy	1943	76	1943.08.19	1	https://youtu.be/L2a7o4DLzPk	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/L2a7o4DLzPk"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
420	Mátyás rendet csinál	1939	81	1940.02.06	0		
421	Megálmodtalak	1943	76	1943.10.12	1		
422	Méltóságos kisasszony	1936	68	1937.01.26	1	https://youtu.be/GaRC8s6aYJY	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/GaRC8s6aYJY"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
423	Miért?	1941	84	1941.12.22	1		
424	Mindent a nõért!	1933	85	1934.01.31	0		
425	Muki	1943	83	1944.02.09	0		
426	Nászinduló	1943	94	1944.12.10	1	https://youtu.be/fA6e_x1gDRs	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/fA6e_x1gDRs"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
427	Ne kérdezd, ki voltam	1941	102	1941.08.22	0		
428	Négylevelû lóhere	1931			0		
429	Nehéz apának lenni	1938		1938.09.16	0		
430	Nem loptam én életemben	1939	90	1939.07.23	0		
431	Nemes rózsa	1943	77		1	https://youtu.be/mgiMOHpcgIU	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/mgiMOHpcgIU"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
433	Nincsenek véletlenek	1938	74	1939.12.21	1	https://youtu.be/cHhxPJ8njiQ	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/cHhxPJ8njiQ"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
434	Orient express	1943	75	1943.07.22	1		
435	Ördöglovas	1943	79	1944.03.15	1		
436	Pardon, tévedtem	1933	96	1933.10.24	0		
437	Pénz áll a házhoz	1939	90	1939.07.20	0		
438	Pesti mese	1937	77	1937.05.27	1		
439	Pogányok	1936		1937.04.29	0		
